study_ID,Study.x,number_of_islands,Taxa,island_type2,fixed_proportional,dataset_coord_lat,dataset_coord_long,sampling_effort,sampling_effort_unit,sampling_method,sampling_method_dimensions,sampling_notes,sampling_time_frame,no_hours_sampled
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,300,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,302,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,306,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,318,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,319,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,322,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,327,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,332,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,357,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,366,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,12,Birds,forest island,fixed,NA,NA,378,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
As_1984,As_1984_data,10,Beetles,continental,not_standardized,59.5560966,19.2426625,9,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,10,Beetles,continental,not_standardized,59.5560966,19.2426625,18,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,10,Beetles,continental,not_standardized,59.5560966,19.2426625,36,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,10,Beetles,continental,not_standardized,59.5560966,19.2426625,45,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
Barun_2010,Barun_2010_data,6,Herpetofauna,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Bell_2017,Bell_2017_data,30,Beetles,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,10,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,12,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,13,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,16,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,18,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
Borges_2016,Borges_2016_data,7,Invertebrates,volcanic,not_standardized,38.38388543,-27.82974724,20,transects,pitfall trap,150 m long and 5 m wide transects,Pitfall traps placed every 5m along transect. 30 traps per transect. Transects were place in different forests on each island.,June to September,Two weeks
