refshort,reference,country,climate,continent,sphere_fragment,sphere_matrix,biome,taxa,time_since_fragmentation,matrix_category,latitudeN,longitudeE,sampling_design,sampling_method,method_category,sampling_device_size,device_size_unit,intensity,intensity_unit,block_type,number_of_blocks_per_site,sampling_density,density_unit,sampling_duration,duration_unit,sampling_effort,sampling_effort_unit,sampling_note
Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,-21.44712,-41.1097,standardized_fragment,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",Argentinia,Temperate,South America,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,-26.833333,-65.333333,standardized_fragment,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
Almeida-Gomes_2014,"Almeida-Gomes, M. and Rocha, C.F.D., 2014. Diversity and distribution of lizards in fragmented Atlantic Forest landscape in Southeastern Brazil.  Journal of Herpetology,  48(3), pp.423-429.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),intermediate,-22.435,-42.709,standardized_fragment,trap,pitfall traps,16,liters,11,pitfall traps per transect per session,transect,1,10,m apart,5,surveys of 6 days each,1,balanced,Each site with a pitfall system with 11 traps (16 l buckets) and drift fence all along the 100 m transect.  Sampling between July 2007 and March 2010.  Fragment sizes estimated from map.
Andresen_2003,"Andresen, E., 2003. Effect of forest fragmentation on dung beetle communities and functional consequences for plant regeneration. Ecography, 26(1), pp.87-97.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Recent (less than 20 years),intermediate,-2.5,-60,pooled,trap,pitfall traps,10,cm diameter,6,pitfall traps per transect per session,transect,1,30,m apart,3 to 5,surveys of 16 hours,3,number of surveys,Transects with 6 pitfall traps set out multiple times (denoted by sample effort).
Andresen_2003,"Andresen, E., 2003. Effect of forest fragmentation on dung beetle communities and functional consequences for plant regeneration. Ecography, 26(1), pp.87-97.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Recent (less than 20 years),intermediate,-2.5,-60,pooled,trap,pitfall traps,10,cm diameter,6,pitfall traps per transect per session,transect,1,30,m apart,3 to 5,surveys of 16 hours,5,number of surveys,Transects with 6 pitfall traps set out multiple times (denoted by sample effort).
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,65,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,85,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,200,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,70,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
Baldi_1999,"Báldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125-132.",Hungary,Temperate,Europe,terrestrial,terrestrial,shrubland/steppe,Insecta,long (100+ years),harsh filter,47.556453,18.879999,pooled,net,sweep net,NA,NA,up to 50,m long 1 m wide transects,NA,NA,ca. 142,sweeps per 50 m transect,2,surveys during 2 consecutive summers,310,total length of transect for each fragment ,Sweep netting along 1 m wide transect.
