DB,Projectid,Paperid,Year,Authors,Title,Journal,DOI,URL,Data Availability,Date of downloading,Citation of data source,Creative Commons Liscence,creativecommonsliscence
GAZP,5,1,2015,"Rinella, M., Hammond, Darcy, H., Bryant, Ana-Elisa, Kozar, Brian J.",High precipitation and seeded species competition reduce seeded shrub establishment during dryland restoration,Ecological Applications,10.1890/14-1110.1,https://doi.org/10.1890/14-1110.1,NA,NA,"Rinella, Matthew J.; Hammond, Darcy H.; Bryant, Ana-Elisa M.; Kozar, Brian J. (2015), Data from: High precipitation and seeded species competition reduce seeded shrub establishment during dryland restoration, Dryad, Dataset, https://doi.org/10.5061/dryad.b91t7",CC0,CC0
GAZP,7,1,2012,"Munson, S.M. and Lauenroth, W.K.",Plant Community Recovery Following Restoration in Semiarid Grasslands,Restoration Ecology,10.1111/j.1526-100X.2011.00808.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1526-100X.2011.00808.x,NA,NA,NA,NA,NA
GAZP,8,1,2016,"Krame, A",PINE RIDGE FIRE: NATIVE WINNER SEEDING TRIALS,NA,NA,NA,NA,NA,NA,NA,NA
GAZP,9,1,2011,United State Department of the Interior Bureau of Land Management,Black Ridge Monitoring Report,United State Department of the Interior Bureau of Land Management,NA,NA,NA,NA,NA,NA,NA
GAZP,10,1,2012,"Porensky, LM; Vaughn, KJ; Young, TP",Can initial intraspecific spatial aggregation increase multi-year coexistence by creating temporal priority?,ECOLOGICAL APPLICATIONS,10.1890/11-0818.1,http://doi.org/10.1890/11-0818.1,NA,NA,NA,NA,NA
GAZP,10,1,2015,"Young, D. J. N., L. M. Porensky, K. M. Wolf, S. E. Fick, and T. P. Young.",Burning reveals cryptic plant diversity and promotes coexistence in a California prairie restoration experiment,Ecosphere,10.1890/ES14-00303.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/ES14-00303.1,NA,NA,NA,NA,NA
GAZP,11,1,2018,"Porensky, LM; Perryman, BL; Williamson, MA; Madsen, MD; Leger, EA",Combining active restoration and targeted grazing to establish native plants and reduce fuel loads in invaded ecosystems,ECOLOGY AND EVOLUTION,10.1002/ece3.4642,http://doi.org/10.1002/ece3.4642,NA,NA,NA,NA,NA
GAZP,13,1,2017,"Owen W. Baughman, Robert Burton, Mark Williams, Peter J. Weisberg, Thomas E. Dilts, Elizabeth A. Leger",Cheatgrass Die-Offs: A Unique Restoration Opportunity in Northern Nevada,Rangelands,10.1016/j.rala.2017.09.001,https://www.sciencedirect.com/science/article/pii/S0190052817300470,NA,NA,NA,NA,NA
GAZP,15,1,2012,"M.R. Ross, S.C. Castle, N.N. Barger,",Effects of fuels reductions on plant communities and soils in a Piñon-juniper woodland,Journal of Arid Environments,10.1016/j.jaridenv.2011.11.019,https://www.sciencedirect.com/science/article/pii/S0140196311003533,NA,NA,NA,NA,NA
GAZP,15,2,2014,"Redmond, M.D., Zelikova, T.J. & Barger, N.N",Limits to Understory Plant Restoration Following Fuel-Reduction Treatments in a Piñon–Juniper Woodland,Environmental Management,10.1007/s00267-014-0338-3,https://link.springer.com/article/10.1007/s00267-014-0338-3,NA,NA,NA,NA,NA
GAZP,17,1,2015,"Erin Espeland, Laurie Richardson",The Role of Competition and Seed Production Environment on the Success of Two Perennial Grass Species in a Roadside Restoration,Ecological Restoration,10.3368/er.33.3.282,http://er.uwpress.org/content/33/3/282.short,NA,NA,NA,NA,NA
GAZP,18,1,2017,"Erin K. Espeland, John Hendrickson, David Toledo, Natalie M. West and Tatyana A. Rand",Soils Determine Early Revegetation Establishment with and without Cover Crops in Northern Mixed Grass Prairie after Energy Development,Ecological Restoration,10.3368/er.35.4.311,http://er.uwpress.org/content/35/4/311.short,NA,NA,NA,NA,NA
GAZP,19,1,2017,"Liu, XY; Cao, YG; Bai, ZK; Wang, JM; Zhou, W",Evaluating relationships between soil chemical properties and vegetation cover at different slope aspects in a reclaimed dump,ENVIRONMENTAL EARTH SCIENCES,10.1007/s12665-017-7157-9,http://doi.org/10.1007/s12665-017-7157-9,NA,NA,NA,NA,NA
