dataset_name,id,dataset_id,authors,title,year_of_publication,journal/book/repository,reference,contact person,contact email address,last version publication date dd-mm-yy,version,date of access dd-mm-yy,DOI,download URL,URL,right to reuse,license,country,taxa1,taxa2,realm,standardisation,data availability,lat,long
homogenisation,2,jimenez-uzcategui_2014,"Gustavo Jiménez-Uzcátegui, Howard L. Snell",CDF Checklist of Galapagos Mammals,2014,"Bungartz, F., Herrera, H., Jaramillo, P., Tirado, N., Jiménez-Uzcátegui, G., Ruiz, D., Guézou, A. & Ziemmeck, F. (eds.). Charles Darwin Foundation Galapagos Species Checklist - Lista de Especies de Galápagos de la Fundación Charles Darwin. Charles Darwin Foundation / Fundación Charles Darwin, Puerto Ayora, Galapagos",,Darwin Foundation,datazone@fcdarwin.org.ec,24/01/2014,1,,NA,https://www.researchgate.net/profile/John_Starmer/publication/267795701_WAR-IN-THE-PACIFIC_NATIONAL_HISTORICAL_PARK_MARINE_BIOLOGICAL_SURVEY_WAR-IN-THE-PACIFIC_NATIONAL_HISTORICAL_PARK/links/54b5bcfd0cf26833efd3437a/WAR-IN-THE-PACIFIC-NATIONAL-HISTORICAL-PARK-MARINE-BIOLOGICAL-SURVEY-WAR-IN-THE-PACIFIC-NATIONAL-HISTORICAL-PARK.pdf,https://www.yumpu.com/user/checklists.datazone.darwinfoundation.org,open,,Galapagos PACIFIC,vertebrates,mammals,,,tables in the paper,,
homogenisation,4,amesbury_1999,"Steven S. Amesbury, David Ginsburg, Teina Rongo, Lisa Kirkendale, and John Starmer",WAR-IN-THE-PACIFIC NATIONAL HISTORICAL PARK MARINE BIOLOGICAL SURVEY,1999,Report to the U.S. National Park Service,,NA,NA,Jul-99,1,,NA,,,open,,USA,macroinvertebrates ; fish ; corals ; algae,,,,tables in the paper ; comparison between 1973 and 1999 for fish,,
homogenisation,5,chiba_2011,Satoshi Chiba and Kaustuv Roy,Selectivity of terrestrial gastropod extinctions on an oceanic archipelago and insights into the anthropogenic extinction process,2011,PNAS,,Kaustuv Roy,kroy@ucsd.edu,23/05/2011,1,,https://doi.org/10.1073/pnas.1100085108 ,,https://www.pnas.org/content/108/23/9496.short,open,,Japan,invertebrates,gastropods,,,excel table,,
homogenisation,9,opedal_2020,"Øystein H. Opedal, Mikael von Numers, Gleb Tikhonov, Otso Ovaskainen",Refining predictions of metacommunity dynamics by modeling species non-independence,2020,Ecology ,,Øystein H. Opedal,oystein.opedal@biol.lu.se,16/04/2020,1,,https://doi.org/10.1002/ecy.3067,https://doi.org/10.5281/zenodo.3712825,https://doi.org/10.5281/zenodo.3712825,,,finland,plants,,,,git repo downloadable on zenodo,,
homogenisation,10,taylor_2010a,Eric B. Taylor,Changes in taxonomy and species distributions and their influence on estimates of faunal homogenization and differentiation in freshwater fishes,2010,Diversity and Distributions,,Eric B. Taylor,etaylor@zoology.ubc.ca,,1,,https://doi.org/10.1111/j.1472-4642.2010.00670.x,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4642.2010.00670.x,open,,canada,vertebrates,fish,,,excel table,,
homogenisation,12,baiser_2011,"Baiser, Benjamin; Valle, Dennis; Zelazny, Zoe; Burleigh, J. Gordon",Data from: Non-random patterns of invasion and extinction reduce phylogenetic diversity in island bird assemblages,2017,Ecography,,Benjamin Baiser,bbaiser@ufl.edu,07/03/2017,1,11/06/2020,https://doi.org/10.5061/dryad.rs714,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.rs714,open,CC0 1.0,global,vertebrates,birds,,none,dryad,,
homogenisation,13,buckley_2015,"Lauren B. Buckley, Ce´sar R. Nufio, Evan M. Kirk and Joel G. Kingsolver",Elevational differences in developmental plasticity determine phenological responses of grasshoppers to recent climate warming,2015,Royal Society,,Lauren B. Buckley,,12/05/2015,1,11/06/2020,https://doi.org/10.5061/dryad.mp238,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.mp238,open,CC0 1.0,USA,invertebrates,grasshoppers,,none ; effort counts the number of time one block was surveyed in a given year.,dryad,,
homogenisation,14,cazelles_2019,"Kevin Cazelles, Timothy Bartley, Matthew M. Guzzo, Marie-Hélène Brice, Andrew S. MacDougall, Joseph R. Bennett, Ellen H. Esch, Taku Kadoya, Jocelyn Kelly, Shin-ichiro Matsuzaki, Karin A. Nilsson, Kevin S. McCann",Homogenization of freshwater lakes: Recent compositional shifts in fish communities are explained by gamefish movement and not climate change,2019,Global Change Biology,https://onlinelibrary.wiley.com/doi/epdf/10.1111/gcb.14829,Kevin Cazelles,kevin.cazelles@gmail.com,10/09/2019,1.0.0,16/06/2020,https://doi.org/10.5281/zenodo.3383237,https://zenodo.org/record/3383237,https://zenodo.org/record/3383237,open,CC BY NC,Canada,vertebrates,fish,,none,zenodo,,
homogenisation,15,cervantes-yoshida_2015,"Kristina Cervantes-Yoshida ,Robert A. Leidy,Stephanie M. Carlson","Contemporary Land Change Alters Fish Communities in a San Francisco Bay Watershed, California, U.S.A.",2015,PLOS ONE,,Kristina Cervantes-Yoshida,kcervantesyoshida@gmail.com,15/10/2016,,16/06/2020,http://dx.doi.org/10.5061/dryad.54hr0,https://datadryad.org/stash/dataset/doi:10.5061/dryad.54hr0,https://datadryad.org/stash/dataset/doi:10.5061/dryad.54hr0,open,CC0 1.0 ,USA,vertebrates,fish,,none,dryad,,
homogenisation,18,larkin_2015,"Daniel J. Larkin, Andrew L. Hipp, Jens Kattge, William Prescott, Rebecca K. Tonietto, Sarah K. Jacobi, Marlin L. Bowles",Phylogenetic measures of plant communities show long-term change and impacts of fire management in tallgrass prairie remnants,2015,Journal of Applied Ecology,,Daniel J. Larkin,dlarkin@chicagobotanic.org,30/07/2015,1,17/06/2020,https://doi.org/10.5061/dryad.763v6,https://datadryad.org/stash/dataset/doi:10.5061/dryad.763v6,https://datadryad.org/stash/dataset/doi:10.5061/dryad.763v6,open,CC0 1.0 ,USA,plants,,,none,dryad,,
